"","scri_sample_id","sample_type","sample_filter","fc","fc_methodf","fc_methodm","fc_methodc"
"181","acap_1261","grabsample","membrane",4225,"sm9222d","sm9222","membranefiltration"
"182","acap_1262","grabsample","membrane",4600,"sm9222d","sm9222","membranefiltration"
"183","acap_1240","grabsample","membrane",200,"sm9222d","sm9222","membranefiltration"
"184","acap_1236","grabsample","membrane",170,"sm9222d","sm9222","membranefiltration"
"185","acap_1245","grabsample","membrane",400,"sm9222d","sm9222","membranefiltration"
"186","acap_1303","grabsample","membrane",2250,"sm9222d","sm9222","membranefiltration"
"187","acap_1311","grabsample","membrane",12000,"sm9222d","sm9222","membranefiltration"
"188","acap_1307","grabsample","membrane",5250,"sm9222d","sm9222","membranefiltration"
"189","acap_1305","grabsample","membrane",2900,"sm9222d","sm9222","membranefiltration"
"190","acap_1318","grabsample","membrane",30200,"sm9222d","sm9222","membranefiltration"
"191","acap_1322","grabsample","membrane",44000,"sm9222d","sm9222","membranefiltration"
"192","acap_1304","grabsample","membrane",2500,"sm9222d","sm9222","membranefiltration"
"193","acap_1320","grabsample","membrane",39000,"sm9222d","sm9222","membranefiltration"
"194","acap_1313","grabsample","membrane",16150,"sm9222d","sm9222","membranefiltration"
"195","acap_1353","grabsample","membrane",8,"sm9222d","sm9222","membranefiltration"
"196","acap_1363","grabsample","membrane",71.5,"sm9222d","sm9222","membranefiltration"
"197","acap_1367","grabsample","membrane",95,"sm9222d","sm9222","membranefiltration"
"198","acap_1369","grabsample","membrane",108.5,"sm9222d","sm9222","membranefiltration"
"199","acap_1357","grabsample","membrane",41,"sm9222d","sm9222","membranefiltration"
"200","acap_1352","grabsample","membrane",5,"sm9222d","sm9222","membranefiltration"
"201","acap_1361","grabsample","membrane",50,"sm9222d","sm9222","membranefiltration"
"202","acap_1354","grabsample","membrane",14,"sm9222d","sm9222","membranefiltration"
"203","acap_1164","grabsample","membrane",7,"sm9222d","sm9222","membranefiltration"
"204","acap_1166","grabsample","membrane",12,"sm9222d","sm9222","membranefiltration"
"205","acap_1189","grabsample","membrane",50,"sm9222d","sm9222","membranefiltration"
"206","acap_1161","grabsample","membrane",4,"sm9222d","sm9222","membranefiltration"
"207","acap_1174","grabsample","membrane",16,"sm9222d","sm9222","membranefiltration"
"208","acap_1183","grabsample","membrane",24.5,"sm9222d","sm9222","membranefiltration"
"209","acap_1162","grabsample","membrane",6,"sm9222d","sm9222","membranefiltration"
"210","acap_168","grabsample","membrane",8.5,"sm9222d","sm9222","membranefiltration"
"211","acap_164","grabsample","membrane",5,"sm9222d","sm9222","membranefiltration"
"212","acap_161","grabsample","membrane",2,"sm9222d","sm9222","membranefiltration"
"213","acap_176","grabsample","membrane",13,"sm9222d","sm9222","membranefiltration"
"214","acap_171","grabsample","membrane",10,"sm9222d","sm9222","membranefiltration"
"215","acap_190","grabsample","membrane",37,"sm9222d","sm9222","membranefiltration"
"216","acap_165","grabsample","membrane",5,"sm9222d","sm9222","membranefiltration"
"217","acap_1348","grabsample","membrane",7,"sm9222d","sm9222","membranefiltration"
"218","acap_1345","grabsample","membrane",1,"sm9222d","sm9222","membranefiltration"
"219","acap_1350","grabsample","membrane",10.5,"sm9222d","sm9222","membranefiltration"
"220","acap_1344","grabsample","membrane",1,"sm9222d","sm9222","membranefiltration"
"221","acap_1349","grabsample","membrane",7.5,"sm9222d","sm9222","membranefiltration"
"222","acap_1351","grabsample","membrane",11.5,"sm9222d","sm9222","membranefiltration"
"223","acap_1346","grabsample","membrane",2,"sm9222d","sm9222","membranefiltration"
"224","acap_236","grabsample","membrane",35.7,"sm9222d","sm9222","membranefiltration"
"225","acap_209","grabsample","membrane",1,"sm9222d","sm9222","membranefiltration"
"226","acap_249","grabsample","membrane",95,"sm9222d","sm9222","membranefiltration"
"227","acap_215","grabsample","membrane",12,"sm9222d","sm9222","membranefiltration"
"228","acap_233","grabsample","membrane",30.5,"sm9222d","sm9222","membranefiltration"
"229","acap_244","grabsample","membrane",52,"sm9222d","sm9222","membranefiltration"
"230","acap_212","grabsample","membrane",10,"sm9222d","sm9222","membranefiltration"
"231","acap_245","grabsample","membrane",68,"sm9222d","sm9222","membranefiltration"
"232","acap_221","grabsample","membrane",15.5,"sm9222d","sm9222","membranefiltration"
"233","acap_489","grabsample","membrane",270,"sm9222d","sm9222","membranefiltration"
"234","acap_472","grabsample","membrane",70,"sm9222d","sm9222","membranefiltration"
"235","acap_475","grabsample","membrane",90,"sm9222d","sm9222","membranefiltration"
"236","acap_480","grabsample","membrane",182,"sm9222d","sm9222","membranefiltration"
"237","acap_478","grabsample","membrane",130,"sm9222d","sm9222","membranefiltration"
"238","acap_495","grabsample","membrane",550,"sm9222d","sm9222","membranefiltration"
"239","acap_509","grabsample","membrane",6500,"sm9222d","sm9222","membranefiltration"
"240","acap_506","grabsample","membrane",4900,"sm9222d","sm9222","membranefiltration"
"241","acap_505","grabsample","membrane",4600,"sm9222d","sm9222","membranefiltration"
"242","acap_299","grabsample","membrane",526,"sm9222d","sm9222","membranefiltration"
"243","acap_271","grabsample","membrane",63,"sm9222d","sm9222","membranefiltration"
"244","acap_283","grabsample","membrane",176,"sm9222d","sm9222","membranefiltration"
"245","acap_274","grabsample","membrane",66,"sm9222d","sm9222","membranefiltration"
"246","acap_286","grabsample","membrane",245,"sm9222d","sm9222","membranefiltration"
"247","acap_314","grabsample","membrane",1447,"sm9222d","sm9222","membranefiltration"
"248","acap_281","grabsample","membrane",156,"sm9222d","sm9222","membranefiltration"
"249","acap_841","grabsample","membrane",37000,"sm9222d","sm9222","membranefiltration"
"250","acap_847","grabsample","membrane",52250,"sm9222d","sm9222","membranefiltration"
"251","acap_824","grabsample","membrane",10000,"sm9222d","sm9222","membranefiltration"
"252","acap_857","grabsample","membrane",103750,"sm9222d","sm9222","membranefiltration"
"253","acap_863","grabsample","membrane",151000,"sm9222d","sm9222","membranefiltration"
"254","acap_852","grabsample","membrane",75500,"sm9222d","sm9222","membranefiltration"
"255","acap_849","grabsample","membrane",59500,"sm9222d","sm9222","membranefiltration"
"256","acap_546","grabsample","membrane",89,"sm9222d","sm9222","membranefiltration"
"257","acap_545","grabsample","membrane",86,"sm9222d","sm9222","membranefiltration"
