"","scri_sample_id","sample_type","sample_filter","ec","ec_methodf","ec_methodm","ec_methodc","entero","entero_methodf","entero_methodm","entero_methodc","fc","fc_methodf","fc_methodm","fc_methodc","tc","tc_methodf","tc_methodm","tc_methodc"
"67","oei_265","grabsample","membrane",150,"sm9222g","membranefiltration","membranefiltration",40,"sm9230c","membranefiltration","membranefiltration",210,"sm9222d","sm9222","membranefiltration",1050,"sm9222b","sm9222","membranefiltration"
"68","oei_2546","grabsample","membrane",2192,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,2000,"sm9222d","sm9222","membranefiltration",14520,"sm9222b","sm9222","membranefiltration"
"69","oei_575","grabsample","membrane",25,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,5,"sm9222d","sm9222","membranefiltration",25,"sm9222b","sm9222","membranefiltration"
"70","oei_571","grabsample","membrane",25,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,5,"sm9222d","sm9222","membranefiltration",25,"sm9222b","sm9222","membranefiltration"
"71","oei_573","grabsample","membrane",25,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,5,"sm9222d","sm9222","membranefiltration",50,"sm9222b","sm9222","membranefiltration"
"72","oei_2431","grabsample","membrane",7945,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,90000,"sm9222d","sm9222","membranefiltration",14550,"sm9222b","sm9222","membranefiltration"
"73","oei_2008","grabsample","membrane",1374,"sm9222g","membranefiltration","membranefiltration",517,"sm9230c","membranefiltration","membranefiltration",1120,"sm9222d","sm9222","membranefiltration",7258.5,"sm9222b","sm9222","membranefiltration"
"74","oei_2557","grabsample","membrane",2,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,5,"sm9222d","sm9222","membranefiltration",2,"sm9222b","sm9222","membranefiltration"
"75","oei_2445","grabsample","membrane",14550,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,90000,"sm9222d","sm9222","membranefiltration",14550,"sm9222b","sm9222","membranefiltration"
"76","oei_2552","grabsample","membrane",4,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,100,"sm9222d","sm9222","membranefiltration",1044,"sm9222b","sm9222","membranefiltration"
"77","oe1_2775","grabsample","membrane",14550,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,11000,"sm9222d","sm9222","membranefiltration",14550,"sm9222b","sm9222","membranefiltration"
"78","oei_2454","grabsample","membrane",6932,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,8000,"sm9222d","sm9222","membranefiltration",14550,"sm9222b","sm9222","membranefiltration"
"79","oei_2566","grabsample","membrane",2,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,5,"sm9222d","sm9222","membranefiltration",14520,"sm9222b","sm9222","membranefiltration"
"80","oei_2561","grabsample","membrane",4,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,10,"sm9222d","sm9222","membranefiltration",3464,"sm9222b","sm9222","membranefiltration"
"81","oei_370","grabsample","membrane",100,"sm9222g","membranefiltration","membranefiltration",12,"sm9230c","membranefiltration","membranefiltration",50,"sm9222d","sm9222","membranefiltration",4800,"sm9222b","sm9222","membranefiltration"
"82","oei_359","grabsample","membrane",370,"sm9222g","membranefiltration","membranefiltration",7,"sm9230c","membranefiltration","membranefiltration",420,"sm9222d","sm9222","membranefiltration",2250,"sm9222b","sm9222","membranefiltration"
"83","oei_340","grabsample","membrane",153,"sm9222g","membranefiltration","membranefiltration",2,"sm9230c","membranefiltration","membranefiltration",140,"sm9222d","sm9222","membranefiltration",3470,"sm9222b","sm9222","membranefiltration"
"84","oei_348","grabsample","membrane",150,"sm9222g","membranefiltration","membranefiltration",2,"sm9230c","membranefiltration","membranefiltration",100,"sm9222d","sm9222","membranefiltration",1300,"sm9222b","sm9222","membranefiltration"
"85","oei_577","grabsample","membrane",25,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,5,"sm9222d","sm9222","membranefiltration",25,"sm9222b","sm9222","membranefiltration"
"86","oei_350","grabsample","membrane",50,"sm9222g","membranefiltration","membranefiltration",0.5,"sm9230c","membranefiltration","membranefiltration",10,"sm9222d","sm9222","membranefiltration",150,"sm9222b","sm9222","membranefiltration"
"87","oei_362","grabsample","membrane",200,"sm9222g","membranefiltration","membranefiltration",1,"sm9230c","membranefiltration","membranefiltration",182,"sm9222d","sm9222","membranefiltration",1500,"sm9222b","sm9222","membranefiltration"
"88","oei_1017","grabsample","membrane",3100,"sm9222g","membranefiltration","membranefiltration",579,"sm9230c","membranefiltration","membranefiltration",1080,"sm9222d","sm9222","membranefiltration",7258.5,"sm9222b","sm9222","membranefiltration"
"89","oei_1686","grabsample","membrane",62,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,18,"sm9222d","sm9222","membranefiltration",NA,NA,NA,NA
"90","oei_2140","grabsample","membrane",20,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,10,"sm9222d","sm9222","membranefiltration",NA,NA,NA,NA
"91","oei_2127","grabsample","membrane",4,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,10,"sm9222d","sm9222","membranefiltration",NA,NA,NA,NA
"92","oei_2137","grabsample","membrane",16,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,27,"sm9222d","sm9222","membranefiltration",NA,NA,NA,NA
"93","oei_2121","grabsample","membrane",26,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,5,"sm9222d","sm9222","membranefiltration",NA,NA,NA,NA
"94","oei_2131","grabsample","membrane",19,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,20,"sm9222d","sm9222","membranefiltration",NA,NA,NA,NA
"95","oei_2146","grabsample","membrane",40,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,60,"sm9222d","sm9222","membranefiltration",NA,NA,NA,NA
"96","oei_1105","grabsample","membrane",55,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,30,"sm9222d","sm9222","membranefiltration",NA,NA,NA,NA
"97","oei_2175","grabsample","membrane",43,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,50,"sm9222d","sm9222","membranefiltration",NA,NA,NA,NA
"98","oei_2262","grabsample","membrane",0.5,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,10,"sm9222d","sm9222","membranefiltration",NA,NA,NA,NA
"99","oei_2179","grabsample","membrane",219,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,260,"sm9222d","sm9222","membranefiltration",NA,NA,NA,NA
"100","oe1_2793","grabsample","membrane",48,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,54,"sm9222d","sm9222","membranefiltration",NA,NA,NA,NA
"101","oei_2327","grabsample","membrane",40,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,70,"sm9222d","sm9222","membranefiltration",NA,NA,NA,NA
"102","oei_2255","grabsample","membrane",148,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,64,"sm9222d","sm9222","membranefiltration",NA,NA,NA,NA
"103","oei_2248","grabsample","membrane",102,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,64,"sm9222d","sm9222","membranefiltration",NA,NA,NA,NA
"104","oei_2216","grabsample","membrane",276,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,80,"sm9222d","sm9222","membranefiltration",NA,NA,NA,NA
"105","oe1_2796","grabsample","membrane",1,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,10,"sm9222d","sm9222","membranefiltration",NA,NA,NA,NA
"106","oe1_2794","grabsample","membrane",219,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,130,"sm9222d","sm9222","membranefiltration",NA,NA,NA,NA
"107","oei_2318","grabsample","membrane",613,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,900,"sm9222d","sm9222","membranefiltration",NA,NA,NA,NA
"108","oe1_2792","grabsample","membrane",550,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,5000,"sm9222d","sm9222","membranefiltration",NA,NA,NA,NA
"109","oe1_2791","grabsample","membrane",118,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,1300,"sm9222d","sm9222","membranefiltration",NA,NA,NA,NA
"110","oei_2286","grabsample","membrane",1203,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,2300,"sm9222d","sm9222","membranefiltration",NA,NA,NA,NA
"111","oe1_2790","grabsample","membrane",98,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,600,"sm9222d","sm9222","membranefiltration",NA,NA,NA,NA
"112","oei_2363","grabsample","membrane",5,"sm9222g","membranefiltration","membranefiltration",NA,NA,NA,NA,5,"sm9222d","sm9222","membranefiltration",NA,NA,NA,NA
