"","scri_sample_id","sample_type","sample_filter","ec","ec_methodf","ec_methodm","ec_methodc","entero","entero_methodf","entero_methodm","entero_methodc","fc","fc_methodf","fc_methodm","fc_methodc"
"184","cbf_443","grabsample","none",35,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"185","cbf_444","grabsample","none",9,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"186","cbf_450","grabsample","none",7,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,43,"idexxquantitray","mpn","mpn"
"187","cbf_451","grabsample","none",8,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,153,"idexxquantitray","mpn","mpn"
"188","cbf_440","grabsample","none",15,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"189","cbf_449","grabsample","none",124,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"190","cbf_452","grabsample","none",4,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,99,"idexxquantitray","mpn","mpn"
"191","cbf_439","grabsample","none",6,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,5,"idexxquantitray","mpn","mpn"
"192","cbf_448","grabsample","none",23,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,54,"idexxquantitray","mpn","mpn"
"193","cbf_442","grabsample","none",15,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"194","cbf_522","grabsample","none",NA,NA,NA,NA,22320,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"195","cbf_518","grabsample","none",NA,NA,NA,NA,2300,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"196","cbf_521","grabsample","none",NA,NA,NA,NA,2600,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"197","cbf_519","grabsample","none",NA,NA,NA,NA,1600,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"198","cbf_516","grabsample","none",NA,NA,NA,NA,1700,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"199","cbf_517","grabsample","none",NA,NA,NA,NA,4400,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"200","cbf_523","grabsample","none",NA,NA,NA,NA,900,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"201","cbf_520","grabsample","none",NA,NA,NA,NA,17280,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"202","cbf_144","grabsample","none",NA,NA,NA,NA,310,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"203","cbf_142","grabsample","none",NA,NA,NA,NA,80,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"204","cbf_140","grabsample","none",NA,NA,NA,NA,36,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"205","cbf_141","grabsample","none",NA,NA,NA,NA,360,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"206","cbf_143","grabsample","none",NA,NA,NA,NA,120,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"207","cbf_145","grabsample","none",NA,NA,NA,NA,0,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"208","cbf_146","grabsample","none",NA,NA,NA,NA,10,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"209","cbf_139","grabsample","none",NA,NA,NA,NA,570,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"210","cbf_77","grabsample","none",NA,NA,NA,NA,4600,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"211","cbf_76","grabsample","none",NA,NA,NA,NA,17000,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"212","cbf_71","grabsample","none",NA,NA,NA,NA,3800,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"213","cbf_74","grabsample","none",NA,NA,NA,NA,4000,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"214","cbf_75","grabsample","none",NA,NA,NA,NA,1400,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
