"","scri_sample_id","sample_type","sample_filter","ec","ec_methodf","ec_methodm","ec_methodc"
"230","bes_602","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"231","bes_719","grabsample","none",300,"coliscanEasygel","directplating","directplating"
"232","bes_753","grabsample","none",700,"coliscanEasygel","directplating","directplating"
"233","bes_767","grabsample","none",3800,"coliscanEasygel","directplating","directplating"
"234","bes_601","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"235","bes_748","grabsample","none",600,"coliscanEasygel","directplating","directplating"
"236","bes_699","grabsample","none",200,"coliscanEasygel","directplating","directplating"
"237","bes_718","grabsample","none",300,"coliscanEasygel","directplating","directplating"
"238","bes_670","grabsample","none",100,"coliscanEasygel","directplating","directplating"
"239","bes_668","grabsample","none",100,"coliscanEasygel","directplating","directplating"
"240","bes_717","grabsample","none",300,"coliscanEasygel","directplating","directplating"
"241","bes_700","grabsample","none",200,"coliscanEasygel","directplating","directplating"
"242","bes_592","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"243","bes_744","grabsample","none",500,"coliscanEasygel","directplating","directplating"
"244","bes_716","grabsample","none",300,"coliscanEasygel","directplating","directplating"
"245","bes_752","grabsample","none",700,"coliscanEasygel","directplating","directplating"
"246","bes_666","grabsample","none",100,"coliscanEasygel","directplating","directplating"
"247","bes_596","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"248","bes_598","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"249","bes_783","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"250","bes_836","grabsample","none",300,"coliscanEasygel","directplating","directplating"
"251","bes_856","grabsample","none",600,"coliscanEasygel","directplating","directplating"
"252","bes_777","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"253","bes_778","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"254","bes_897","grabsample","none",4100,"coliscanEasygel","directplating","directplating"
"255","bes_784","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"256","bes_888","grabsample","none",2200,"coliscanEasygel","directplating","directplating"
"257","bes_815","grabsample","none",100,"coliscanEasygel","directplating","directplating"
"258","bes_779","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"259","bes_855","grabsample","none",600,"coliscanEasygel","directplating","directplating"
"260","bes_835","grabsample","none",300,"coliscanEasygel","directplating","directplating"
"261","bes_812","grabsample","none",100,"coliscanEasygel","directplating","directplating"
"262","bes_781","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"263","bes_782","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"264","bes_872","grabsample","none",1100,"coliscanEasygel","directplating","directplating"
"265","bes_814","grabsample","none",100,"coliscanEasygel","directplating","directplating"
"266","bes_864","grabsample","none",800,"coliscanEasygel","directplating","directplating"
"267","bes_904","grabsample","none",140000,"coliscanEasygel","directplating","directplating"
"268","bes_903","grabsample","none",19000,"coliscanEasygel","directplating","directplating"
"269","bes_810","grabsample","none",100,"coliscanEasygel","directplating","directplating"
"270","bes_885","grabsample","none",1900,"coliscanEasygel","directplating","directplating"
"271","bes_887","grabsample","none",2200,"coliscanEasygel","directplating","directplating"
"272","bes_811","grabsample","none",100,"coliscanEasygel","directplating","directplating"
"273","bes_816","grabsample","none",100,"coliscanEasygel","directplating","directplating"
"274","bes_905","grabsample","none",190000,"coliscanEasygel","directplating","directplating"
"275","bes_892","grabsample","none",2500,"coliscanEasygel","directplating","directplating"
"276","bes_832","grabsample","none",200,"coliscanEasygel","directplating","directplating"
"277","bes_894","grabsample","none",2800,"coliscanEasygel","directplating","directplating"
"278","bes_899","grabsample","none",6000,"coliscanEasygel","directplating","directplating"
"279","bes_776","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"280","bes_813","grabsample","none",100,"coliscanEasygel","directplating","directplating"
"281","bes_898","grabsample","none",4200,"coliscanEasygel","directplating","directplating"
"282","bes_780","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"283","bes_873","grabsample","none",1100,"coliscanEasygel","directplating","directplating"
"284","bes_861","grabsample","none",700,"coliscanEasygel","directplating","directplating"
"285","bes_846","grabsample","none",500,"coliscanEasygel","directplating","directplating"
"286","bes_884","grabsample","none",1500,"coliscanEasygel","directplating","directplating"
"287","bes_882","grabsample","none",1300,"coliscanEasygel","directplating","directplating"
"288","bes_139","grabsample","none",100,"coliscanEasygel","directplating","directplating"
"289","bes_33","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"290","bes_172","grabsample","none",500,"coliscanEasygel","directplating","directplating"
"291","bes_28","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"292","bes_17","grabsample","none",0,"coliscanEasygel","directplating","directplating"
"293","bes_30","grabsample","none",0,"coliscanEasygel","directplating","directplating"
