"","scri_sample_id","sample_type","sample_filter","ec","ec_methodf","ec_methodm","ec_methodc","fc","fc_methodf","fc_methodm","fc_methodc","tc","tc_methodf","tc_methodm","tc_methodc"
"125","ccu_5476","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,333,"ccu","directplating","directplating"
"126","ccu_5474","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,0,"ccu","directplating","directplating"
"127","ccu_5478","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,66,"ccu","directplating","directplating"
"128","ccu_5479","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,999,"ccu","directplating","directplating"
"129","ccu_5473","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,0,"ccu","directplating","directplating"
"130","ccu_5480","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,433,"ccu","directplating","directplating"
"131","ccu_5481","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,266,"ccu","directplating","directplating"
"132","ccu_5485","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,932,"ccu","directplating","directplating"
"133","ccu_5489","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,700,"ccu","directplating","directplating"
"134","ccu_5483","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,1430,"ccu","directplating","directplating"
"135","ccu_5482","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,300,"ccu","directplating","directplating"
"136","ccu_5491","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,166,"ccu","directplating","directplating"
"137","ccu_542","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,1865,"ccu","directplating","directplating"
"138","ccu_554","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,599,"ccu","directplating","directplating"
"139","ccu_537","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,0,"ccu","directplating","directplating"
"140","ccu_541","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,198,"ccu","directplating","directplating"
"141","ccu_546","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,1400,"ccu","directplating","directplating"
"142","ccu_539","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,366,"ccu","directplating","directplating"
"143","ccu_552","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,200,"ccu","directplating","directplating"
"144","ccu_551","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,200,"ccu","directplating","directplating"
"145","ccu_535","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,133,"ccu","directplating","directplating"
"146","ccu_550","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,100,"ccu","directplating","directplating"
"147","ccu_548","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,1565,"ccu","directplating","directplating"
"148","ccu_553","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,200,"ccu","directplating","directplating"
"149","ccu_540","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,999,"ccu","directplating","directplating"
"150","ccu_543","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,366,"ccu","directplating","directplating"
"151","ccu_549","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,633,"ccu","directplating","directplating"
"152","ccu_547","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,166,"ccu","directplating","directplating"
"153","ccu_544","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,266,"ccu","directplating","directplating"
"154","ccu_534","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,33,"ccu","directplating","directplating"
"155","ccu_538","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,66,"ccu","directplating","directplating"
"156","ccu_536","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,33,"ccu","directplating","directplating"
"157","ccu_545","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,633,"ccu","directplating","directplating"
"158","ccu_533","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,33,"ccu","directplating","directplating"
"159","ccu_5499","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,166,"ccu","directplating","directplating"
"160","ccu_5504","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,367,"ccu","directplating","directplating"
"161","ccu_5503","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,1600,"ccu","directplating","directplating"
"162","ccu_5497","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,67,"ccu","directplating","directplating"
"163","ccu_5500","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,333,"ccu","directplating","directplating"
"164","ccu_5496","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,0,"ccu","directplating","directplating"
"165","ccu_5498","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,666,"ccu","directplating","directplating"
"166","ccu_5537","grabsample","none",33,"ccu","directplating","directplating",NA,NA,NA,NA,1365,"ccu","directplating","directplating"
"167","ccu_5495","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,33,"ccu","directplating","directplating"
"168","ccu_5538","grabsample","none",33,"ccu","directplating","directplating",NA,NA,NA,NA,699,"ccu","directplating","directplating"
"169","ccu_5565","grabsample","none",100,"ccu","directplating","directplating",NA,NA,NA,NA,200,"ccu","directplating","directplating"
"170","ccu_5506","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,0,"ccu","directplating","directplating"
"171","ccu_5569","grabsample","none",167,"ccu","directplating","directplating",NA,NA,NA,NA,999,"ccu","directplating","directplating"
"172","ccu_5539","grabsample","none",33,"ccu","directplating","directplating",NA,NA,NA,NA,167,"ccu","directplating","directplating"
"173","ccu_5505","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,300,"ccu","directplating","directplating"
"174","ccu_5494","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,67,"ccu","directplating","directplating"
"175","ccu_5501","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,0,"ccu","directplating","directplating"
"176","ccu_5564","grabsample","none",100,"ccu","directplating","directplating",NA,NA,NA,NA,932,"ccu","directplating","directplating"
"177","ccu_5493","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,167,"ccu","directplating","directplating"
"178","ccu_5492","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,66,"ccu","directplating","directplating"
"179","ccu_5502","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,299,"ccu","directplating","directplating"
"180","ccu_566","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,400,"ccu","directplating","directplating"
"181","ccu_557","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,133,"ccu","directplating","directplating"
"182","ccu_565","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,666,"ccu","directplating","directplating"
"183","ccu_596","grabsample","none",33,"ccu","directplating","directplating",NA,NA,NA,NA,266,"ccu","directplating","directplating"
"184","ccu_613","grabsample","none",67,"ccu","directplating","directplating",NA,NA,NA,NA,832,"ccu","directplating","directplating"
"185","ccu_620","grabsample","none",100,"ccu","directplating","directplating",NA,NA,NA,NA,700,"ccu","directplating","directplating"
"186","ccu_556","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,198,"ccu","directplating","directplating"
"187","ccu_555","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,132,"ccu","directplating","directplating"
"188","ccu_633","grabsample","none",766,"ccu","directplating","directplating",NA,NA,NA,NA,5428,"ccu","directplating","directplating"
"189","ccu_558","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,66,"ccu","directplating","directplating"
"190","ccu_564","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,33,"ccu","directplating","directplating"
"191","ccu_562","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,100,"ccu","directplating","directplating"
"192","ccu_625","grabsample","none",133,"ccu","directplating","directplating",NA,NA,NA,NA,600,"ccu","directplating","directplating"
"193","ccu_559","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,0,"ccu","directplating","directplating"
"194","ccu_561","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,766,"ccu","directplating","directplating"
"195","ccu_597","grabsample","none",33,"ccu","directplating","directplating",NA,NA,NA,NA,100,"ccu","directplating","directplating"
"196","ccu_560","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,366,"ccu","directplating","directplating"
"197","ccu_563","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,666,"ccu","directplating","directplating"
"198","ccu_568","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,400,"ccu","directplating","directplating"
"199","ccu_567","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,3596,"ccu","directplating","directplating"
"200","ccu_569","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,67,"ccu","directplating","directplating"
"201","ccu_5568","grabsample","none",133,"ccu","directplating","directplating",NA,NA,NA,NA,433,"ccu","directplating","directplating"
"202","ccu_5543","grabsample","none",33,"ccu","directplating","directplating",NA,NA,NA,NA,67,"ccu","directplating","directplating"
"203","ccu_5559","grabsample","none",67,"ccu","directplating","directplating",NA,NA,NA,NA,133,"ccu","directplating","directplating"
"204","ccu_5541","grabsample","none",33,"ccu","directplating","directplating",NA,NA,NA,NA,67,"ccu","directplating","directplating"
"205","ccu_5545","grabsample","none",33,"ccu","directplating","directplating",NA,NA,NA,NA,33,"ccu","directplating","directplating"
"206","ccu_5514","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,33,"ccu","directplating","directplating"
"207","ccu_5508","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,33,"ccu","directplating","directplating"
"208","ccu_5542","grabsample","none",33,"ccu","directplating","directplating",NA,NA,NA,NA,33,"ccu","directplating","directplating"
"209","ccu_5560","grabsample","none",67,"ccu","directplating","directplating",NA,NA,NA,NA,133,"ccu","directplating","directplating"
"210","ccu_5512","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,267,"ccu","directplating","directplating"
"211","ccu_5513","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,67,"ccu","directplating","directplating"
"212","ccu_5540","grabsample","none",33,"ccu","directplating","directplating",NA,NA,NA,NA,67,"ccu","directplating","directplating"
"213","ccu_5511","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,67,"ccu","directplating","directplating"
"214","ccu_5509","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,0,"ccu","directplating","directplating"
"215","ccu_5507","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,0,"ccu","directplating","directplating"
"216","ccu_5510","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,100,"ccu","directplating","directplating"
"217","ccu_5544","grabsample","none",33,"ccu","directplating","directplating",NA,NA,NA,NA,100,"ccu","directplating","directplating"
"218","ccu_5567","grabsample","none",133,"ccu","directplating","directplating",NA,NA,NA,NA,133,"ccu","directplating","directplating"
"219","ccu_5515","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,0,"ccu","directplating","directplating"
"220","ccu_577","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,0,"ccu","directplating","directplating"
"221","ccu_574","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,0,"ccu","directplating","directplating"
"222","ccu_615","grabsample","none",67,"ccu","directplating","directplating",NA,NA,NA,NA,200,"ccu","directplating","directplating"
"223","ccu_626","grabsample","none",133,"ccu","directplating","directplating",NA,NA,NA,NA,300,"ccu","directplating","directplating"
"224","ccu_622","grabsample","none",100,"ccu","directplating","directplating",NA,NA,NA,NA,433,"ccu","directplating","directplating"
"225","ccu_599","grabsample","none",33,"ccu","directplating","directplating",NA,NA,NA,NA,200,"ccu","directplating","directplating"
"226","ccu_576","grabsample","none",0,"ccu","directplating","directplating",NA,NA,NA,NA,67,"ccu","directplating","directplating"
"227","ccu_621","grabsample","none",100,"ccu","directplating","directplating",NA,NA,NA,NA,233,"ccu","directplating","directplating"
"228","ccu_623","grabsample","none",100,"ccu","directplating","directplating",NA,NA,NA,NA,533,"ccu","directplating","directplating"
